Date,Average_Housing_Price,Weekly_Earnings,Employment_Rate,Benefit Caseload,Housing Supply,Euro Rate,Interest Rate
2011/5/1,304810,707.4952042,59.88027148,823038,2037,1.1403,0.5
2011/6/1,306078,707.4952042,59.70784505,828547,2037,1.1261,0.5
2011/7/1,316716,711.6504025,59.37328551,828135,1430,1.1308,0.5
2011/8/1,315709,711.6504025,58.99747481,832944,1430,1.1422,0.5
2011/9/1,316197,711.6504025,58.99206661,836903,1430,1.147,0.5
2011/10/1,312887,696.6572144,59.28378575,835812,1887,1.1487,0.5
2011/11/1,311570,696.6572144,60.09162807,837426,1887,1.1659,0.5
2011/12/1,312906,696.6572144,60.09162807,841201,1887,1.1843,0.5
2012/1/1,315128,675.5795022,60.09162807,842082,1277,1.2034,0.5
2012/2/1,313010,675.5795022,60.17393708,844541,1277,1.1941,0.5
2012/3/1,310866,675.5795022,58.99671134,845094,1277,1.1981,0.5
2012/4/1,320165,711.4713945,59.40303781,845244,1637,1.2161,0.5
2012/5/1,325535,711.4713945,59.7574168,845740,1637,1.244,0.5
2012/6/1,328471,711.4713945,60.40263757,847207,1637,1.2416,0.5
2012/7/1,330760,690.8053378,60.65411965,847228,1343,1.2688,0.5
2012/8/1,331918,690.8053378,61.01725756,849832,1343,1.2676,0.5
2012/9/1,330232,690.8053378,60.92072611,847518,1343,1.2524,0.5
2012/10/1,332172,728.1931326,60.45686942,848915,1247,1.2393,0.5
2012/11/1,330308,728.1931326,58.92662964,850264,1247,1.244,0.5
2012/12/1,335880,728.1931326,58.92662964,850094,1247,1.231,0.5
2013/1/1,333332,695.6055493,58.92662964,853349,1530,1.2,0.5
2013/2/1,335672,695.6055493,59.0459325,854015,1530,1.1594,0.5
2013/3/1,334322,695.6055493,61.68757102,844732,1530,1.1634,0.5
2013/4/1,343563,750.8281827,61.44762777,847130,1660,1.175,0.5
2013/5/1,345065,750.8281827,61.20891199,852547,1660,1.1777,0.5
2013/6/1,347414,750.8281827,61.21425723,849391,1660,1.174,0.5
2013/7/1,356482,708.668088,61.63135239,848752,1667,1.16,0.5
2013/8/1,359430,708.668088,61.61915145,851400,1667,1.1649,0.5
2013/9/1,364517,708.668088,61.4228399,849450,1667,1.1883,0.5
2013/10/1,364036,686.608892,61.83750997,847847,1710,1.1797,0.5
2013/11/1,368002,686.608892,61.60425286,843868,1710,1.1938,0.5
2013/12/1,376865,686.608892,61.60425286,844472,1710,1.1947,0.5
2014/1/1,380935,671.2334339,61.60425286,846530,2220,1.2097,0.5
2014/2/1,383125,671.2334339,61.23368872,844809,2220,1.2122,0.5
2014/3/1,386898,671.2334339,62.90255313,841837,2220,1.2021,0.5
2014/4/1,401818,728.2111447,63.40185624,838913,1813,1.2125,0.5
2014/5/1,409706,728.2111447,63.671904,838987,1813,1.2267,0.5
2014/6/1,414499,728.2111447,63.75416507,838181,1813,1.2436,0.5
2014/7/1,426870,734.0703272,63.67155302,837910,1497,1.2611,0.5
2014/8/1,433311,734.0703272,63.87751374,835845,1497,1.2542,0.5
2014/9/1,432150,734.0703272,63.89555395,835535,1497,1.2639,0.5
2014/10/1,430684,685.1415355,63.41444888,833803,1300,1.2678,0.5
2014/11/1,429081,685.1415355,62.47247421,827639,1300,1.2646,0.5
2014/12/1,431324,685.1415355,62.47247421,829013,1300,1.2686,0.5
2015/1/1,431270,690.8088353,62.47247421,829312,3167,1.3045,0.5
2015/2/1,433331,690.8088353,62.68694309,826597,3167,1.3503,0.5
2015/3/1,433259,690.8088353,63.92688847,820580,3167,1.3825,0.5
2015/4/1,439403,721.5943956,63.57625101,820988,1937,1.3856,0.5
2015/5/1,445154,721.5943956,63.3091253,820011,1937,1.3852,0.5
2015/6/1,449070,721.5943956,63.7139641,820847,1937,1.3879,0.5
2015/7/1,462097,716.6567139,63.95018899,818629,2113,1.4139,0.5
2015/8/1,466924,716.6567139,64.25979753,813932,2113,1.4004,0.5
2015/9/1,470754,716.6567139,64.02713487,814165,2113,1.3665,0.5
2015/10/1,471562,746.2577781,64.37269642,811561,1427,1.3657,0.5
2015/11/1,476915,746.2577781,64.25334141,807812,1427,1.4168,0.5
2015/12/1,481806,746.2577781,64.25334141,808112,1427,1.3769,0.5
2016/1/1,489741,758.6261422,64.25334141,805824,1833,1.3257,0.5
2016/2/1,490055,758.6261422,64.13047043,807024,1833,1.289,0.5
2016/3/1,497430,758.6261422,64.76642859,804040,1833,1.2809,0.5
2016/4/1,493598,754.6565797,64.96958275,794682,1720,1.2622,0.5
2016/5/1,500467,754.6565797,64.96251056,796048,1720,1.2846,0.5
2016/6/1,501147,754.6565797,64.77383816,794176,1720,1.2646,0.5
2016/7/1,509080,737.5444911,64.67887259,787729,1150,1.1884,0.5
2016/8/1,505256,737.5444911,64.47705293,786117,1150,1.1687,0.25
2016/9/1,505052,737.5444911,64.64620101,784229,1150,1.1722,0.25
2016/10/1,504240,704.0052524,64.73547936,778043,1363,1.119,0.25
2016/11/1,504074,704.0052524,64.24291189,773717,1363,1.1533,0.25
2016/12/1,505701,704.0052524,64.24291189,773709,1363,1.1838,0.25
2017/1/1,509175,775.2593352,64.24291189,769722,1243,1.1613,0.25
2017/2/1,510351,775.2593352,64.42719755,768075,1243,1.1732,0.25
2017/3/1,508986,775.2593352,64.75249662,764135,1243,1.1548,0.25
2017/4/1,513641,756.5257389,64.92861265,756136,2207,1.1798,0.25
2017/5/1,514831,756.5257389,65.52750409,756019,2207,1.1696,0.25
2017/6/1,514028,756.5257389,65.67996507,756672,2207,1.1403,0.25
2017/7/1,522994,742.1998859,65.98628264,750953,1413,1.1281,0.25
2017/8/1,521450,742.1998859,65.99049794,748528,1413,1.0974,0.25
2017/9/1,517969,742.1998859,65.52093353,742379,1413,1.1186,0.25
2017/10/1,515752,747.5464346,65.65839044,739650,1397,1.1227,0.25
2017/11/1,509894,747.5464346,64.98321667,737170,1397,1.1259,0.5
2017/12/1,510491,747.5464346,64.98321667,732929,1397,1.133,0.5
2018/1/1,513622,780.211615,64.98321667,732557,1953,1.1331,0.5
2018/2/1,511574,780.211615,64.87267686,730669,1953,1.1311,0.5
2018/3/1,505683,780.211615,66.35781449,726493,1953,1.1328,0.5
2018/4/1,510925,796.6060578,66.12620411,718191,1147,1.1477,0.5
2018/5/1,512244,796.6060578,65.93769544,716277,1147,1.1397,0.5
2018/6/1,513792,796.6060578,65.80899862,710946,1147,1.1378,0.5
2018/7/1,518923,780.2275494,66.13600902,706909,1263,1.1269,0.5
2018/8/1,513384,780.2275494,66.24666597,705585,1263,1.1157,0.5
2018/9/1,510167,780.2275494,66.55252082,696925,1263,1.1195,0.5
2018/10/1,513927,845.8146475,66.66186164,689991,1593,1.133,0.5
2018/11/1,507814,845.8146475,65.98779247,683338,1593,1.1352,0.5
2018/12/1,506642,845.8146475,65.98779247,672896,1593,1.1128,0.5
2019/1/1,503232,761.9454579,65.98779247,668413,1057,1.1298,0.5
2019/2/1,498951,761.9454579,66.15856947,657953,1057,1.1473,0.5
2019/3/1,496910,761.9454579,65.65133809,647603,1057,1.1653,0.5
2019/4/1,502664,831.495265,65.65133809,639882,747,1.1603,0.5
2019/5/1,496339,831.495265,65.80959032,634418,747,1.1479,0.5
2019/6/1,503716,831.495265,65.74715077,625941,747,1.1225,0.5
2019/7/1,512265,830.2130838,65.03221614,619363,1330,1.1118,0.5
2019/8/1,506081,830.2130838,65.50957218,613102,1330,1.0925,0.5
2019/9/1,510810,830.2130838,65.85503056,604711,1330,1.1223,0.5
2019/10/1,506016,805.3557002,65.98403658,597394,1007,1.144,0.5
2019/11/1,501829,805.3557002,66.37143488,590423,1007,1.166,0.5
2019/12/1,512959,805.3557002,66.37143488,585715,1007,1.1791,0.5
2020/1/1,509527,839.7318033,66.37143488,582325,1127,1.1779,0.5
2020/2/1,507956,839.7318033,65.90126631,575757,1127,1.1882,0.5
2020/3/1,516654,839.7318033,67.496449,570225,1127,1.1193,0.25
2020/4/1,509754,825.4665096,66.88572248,565809,500,1.1419,0.1
2020/5/1,506613,825.4665096,65.77626034,553815,500,1.1275,0.1
2020/6/1,513833,825.4665096,66.72878012,549927,500,1.1123,0.1
2020/7/1,517966,844.5372585,67.23451546,547224,1513,1.1059,0.1
2020/8/1,523954,844.5372585,66.67333134,542519,1513,1.11,0.1
2020/9/1,528003,844.5372585,65.8238526,537950,1513,1.0993,0.1
2020/10/1,520515,849.1822486,65.52012303,533680,1323,1.1032,0.1
2020/11/1,529444,849.1822486,67.14210734,528463,1323,1.1164,0.1
2020/12/1,529060,849.1822486,67.14210734,525099,1323,1.1039,0.1
2021/1/1,529101,852.4980616,67.14210734,520799,1463,1.1205,0.1
2021/2/1,525153,852.4980616,67.88343002,517300,1463,1.1467,0.1
2021/3/1,534311,852.4980616,65.27145023,512212,1463,1.1648,0.1
2021/4/1,523423,825.199574,65.30110747,509107,1260,1.1555,0.1
2021/5/1,522672,825.199574,65.28809388,504686,1260,1.1596,0.1
2021/6/1,538199,825.199574,65.67626722,501749,1260,1.1639,0.1
2021/7/1,529788,895.934228,65.90137491,498396,1597,1.1677,0.1
2021/8/1,545831,895.934228,66.02301671,493984,1597,1.173,0.1
2021/9/1,541876,895.934228,66.02917751,490832,1597,1.1667,0.1
2021/10/1,539606,864.9731404,65.8435874,484811,1393,1.1806,0.1
2021/11/1,547647,864.9731404,65.22491663,481624,1393,1.1789,0.1
2021/12/1,547837,864.9731404,65.22491663,478916,1393,1.1772,0.25
2022/1/1,550635,867.7179479,65.22491663,475603,1707,1.1977,0.25
2022/2/1,551066,867.7179479,65.02245911,472553,1707,1.1933,0.5
2022/3/1,550480,867.7179479,65.32685345,468774,1707,1.1953,0.75
2022/4/1,554765,945.6346015,65.6863213,462933,2650,1.1956,0.75
2022/5/1,554380,945.6346015,65.98041276,462261,2650,1.1759,1
2022/6/1,572418,945.6346015,65.81815279,460551,2650,1.165,1.25
2022/7/1,575261,905.2848685,65.64603269,456462,1377,1.1777,1.25
2022/8/1,581320,905.2848685,65.59915418,453777,1377,1.1834,1.75
2022/9/1,579330,905.2848685,65.48244943,451808,1377,1.1447,2.25
2022/10/1,573946,942.1649775,65.56392718,447430,1480,1.1493,2.25
2022/11/1,575480,942.1649775,65.68104507,445105,1480,1.1505,3
2022/12/1,572384,942.1649775,65.68104507,443566,1480,1.1512,3.5
2023/1/1,570869,904.1035216,65.68104507,440699,1710,1.1352,3.5
2023/2/1,563875,904.1035216,65.82873229,438369,1710,1.1289,4
2023/3/1,555361,904.1035216,66.39355042,435865,1710,1.133,4.25
2023/4/1,557147,998.91106,66.91181552,432124,2470,1.1347,4.25
2023/5/1,554900,998.91106,65.38352922,430372,2470,1.1495,4.5
2023/6/1,556107,998.91106,64.8325013,429195,2470,1.165,5
2023/7/1,559703,998.91106,64.30817398,426413,1130,1.1651,5
2023/8/1,560630,998.91106,63.85907807,424676,1130,1.1643,5.25
2023/9/1,565702,998.91106,64.33644793,420565,1130,1.1605,5.25
2023/10/1,555122,998.91106,64.72626394,418303,217,1.1523,5.25
2023/11/1,547757,998.91106,64.7578754,416288,217,1.1492,5.25
2023/12/1,549112,998.91106,64.7578754,412884,217,1.1604,5.25
2024/1/1,551097,1001.042082,64.7578754,411061,1147,1.1653,5.25
2024/2/1,546842,1001.042082,65.70715655,408737,1147,1.1702,5.25
2024/3/1,546337,1001.042082,66.14456614,403883,1147,1.1693,5.25
2024/4/1,547053,995.8568585,65.63088515,402616,330,1.1671,5.25
2024/5/1,552004,995.8568585,66.51548795,401756,330,1.1685,5.25
2024/6/1,554985,995.8568585,66.74634623,395241,330,1.1811,5.25
2024/7/1,558599,999.4381482,66.88596044,387123,227,1.186,5.25
2024/8/1,568347,999.4381482,67.00432068,374047,227,1.1741,5
2024/9/1,569222,999.4381482,67.15214367,356123,227,1.1903,5
2024/10/1,558566,999.4381482,67.41613009,345450,407,1.1972,5
2024/11/1,551252,999.4381482,67.18028115,333576,407,1.1998,4.75
2024/12/1,551281,999.4381482,67.18028115,329053,407,1.2079,4.75
